,index,movie,name,gender,character,mentions,count,total centrality,average centrality
0,0,chetna,seema,female,unrecognizable,23,170,227.5,1.338235294
1,1,geet,janki,female,"sister, sister, sister",7,56,220.16666669999998,3.931547619
2,2,jeevan_mrityu,deepa,female,"mother, mother, mother",5,53,27.0,0.509433962
3,3,kati_patang,poonam,female,real,21,177,685.6995532000001,3.874008775
4,4,khilona,radha,female,young,11,78,118.5,1.519230769
5,5,khilona,chand,female,"mother, sister, noble",10,119,319.0,2.680672269
6,6,maa_aur_mamta,victor,female,adopted,3,33,42.0,1.2727272729999999
7,7,maa_aur_mamta,mary,female,"daughter, mother, daughter, mother",5,53,140.5,2.6509433959999997
8,8,maa_aur_mamta,girl,female,poor,1,21,84.0,4.0
9,9,maa_aur_mamta,daughter,female,rich,2,26,167.33333330000002,6.435897436
10,10,man_ki_aankhen,geeta,female,"mother, mother, mother",2,38,231.7,6.0973684210000005
11,11,mere_humsafar,woman,female,"attractive,  young",1,7,120.0,17.14285714
12,12,mere_humsafar,tarna,female,"wife, wife, wife",12,61,349.0,5.721311475
13,13,pavitra_paapi,veena,female,"wife, wife, wife",21,124,1267.0,10.21774194
14,14,rootha_na_karo,woman,female,"young,  innocent",1,19,159.0,8.368421052999999
15,15,rootha_na_karo,mother,female,widowed,2,17,57.0,3.3529411760000003
16,16,safar_(film),neela,female,"mother, mother",21,179,479.5,2.67877095
17,17,sawan_bhadon,chanda,female,"mother, mother, mother",5,82,173.0,2.109756098
18,18,sawan_bhadon,sulochana,female,"sister, sister, sister",15,165,726.3333332999999,4.402020202
19,19,tum_haseen_main_jawaan,anuradha,female,beautiful,6,48,28.66666667,0.5972222220000001
20,20,bikhare_moti,mother,female,young,1,20,157.0,7.85
21,21,caravan,woman,female,young,1,22,114.0,5.181818182
22,22,chaahat,geeta,female,"sister, sister",30,292,1173.0,4.0171232880000005
23,23,chhoti_bahu,paro,female,sister,10,79,372.8333333,4.719409283
24,24,dushman,mother,female,blind,1,43,406.0,9.441860465
25,25,dushman,mother,female,blind,1,43,406.0,9.441860465
26,26,dushman,mother,female,blind,1,18,239.0,13.27777778
27,27,ek_nari_ek_brahmachari,woman,female,young,1,21,110.0,5.2380952380000005
28,28,ek_paheli,woman,female,young,2,32,15.0,0.46875
29,29,ek_paheli,maria,female,mysterious,16,126,595.5,4.726190476
30,30,hare_rama_hare_krishna,jasbir,female,"daughter, sister, daughter, sister",11,96,277.0,2.885416667
31,31,hulchul,kitty,female,wife,9,107,0.0,0.0
32,32,kathputli,nisha,female,"mother, mother",4,43,461.58333330000005,10.73449612
33,33,lal_patthar,woman,female,young,3,34,266.0,7.823529412
34,34,main_sunder_hoon,radha,female,"daughter, daughter, daughter",25,129,797.5,6.182170543
35,35,mehboob_ki_mehndi,shabana,female,"daughter, daughter, daughter",9,65,204.0,3.138461538
36,36,patanga,kamla,female,deceased,3,32,62.0,1.9375
37,37,patanga,renu,female,"aunt, aunt",27,191,738.6666667000001,3.867364747
38,38,sanjog,asha,female,"sister, sister",15,88,229.5,2.607954545
39,39,sanjog,asha,female,"sister, sister",15,56,287.0,5.125
40,40,tere_mere_sapne,actress,female,leading,1,6,33.0,5.5
41,41,uphaar,anoop,female,"sister, mother, sister, sister, mother, sister, sister, mother, sister",56,338,2671.5,7.903846154
42,42,anamika,mrs.,female,"mother, mother",0,0,0.0,0.0
43,43,anamika,anamika,female,"wife, wife",12,125,226.0,1.808
44,44,anamika,woman,female,young,2,19,79.33333333,4.175438596
45,45,bada_kabutar,mother,female,disastrous,2,77,134.5,1.7467532469999998
46,46,banarasi_babu,neela,female,beautiful,3,57,270.5,4.745614035
47,47,black_mail,mehta,female,daughter,2,32,59.0,1.84375
48,48,chhalia,shanti,female,"sister, sister",8,103,37.0,0.359223301
49,49,chhupa_rustam,rajendra,female,"mother, wife, mother, wife",8,75,45.0,0.6
50,50,daag:_a_poem_of_love,woman,female,rich,1,6,31.0,5.166666667
51,51,daag:_a_poem_of_love,sonia,female,beautiful,5,31,853.0,27.51612903
52,52,dharma,parvati,female,"wife, wife, followers",5,43,221.83333330000002,5.158914729
53,53,dharma,radha,female,"wife, wife, wife, wife",7,104,1736.1,16.69326923
54,54,dhund,ranjit,female,violent,23,279,198.0,0.709677419
55,55,dhund,woman,female,"beautiful,  young,  married",3,25,101.0,4.04
56,56,dhund,rani,female,innocent,33,236,976.0,4.13559322
57,57,do_phool,mother,female,widowed,1,4,12.0,3.0
58,58,do_phool,shaila,female,"daughter, daughter, daughter",3,21,437.66666669999995,20.84126984
59,59,garam_hawa,mother,female,aged,7,112,1155.033333,10.31279762
60,60,garam_hawa,amina,female,"mother, mother, daughter, mother, mother, daughter, marrying",16,184,602.3333332999999,3.273550725
61,61,hanste_zakhm,rekha,female,"daughter, daughter, daughter",21,149,362.5,2.432885906
62,62,hanste_zakhm,chanda,female,"daughter, mother, daughter, mother, daughter, mother",12,97,102.16666670000001,1.053264605
63,63,hanste_zakhm,police,female,"daughter, daughter",3,13,0.0,0.0
64,64,hanste_zakhm,daughter,female,young,7,53,164.0,3.094339623
65,65,heera_panna,sister,female,younger,1,7,12.0,1.714285714
66,66,heera_panna,panna,female,"sister, sister, sister",3,23,16.0,0.695652174
67,67,joshila,daughter,female,young,1,8,36.0,4.5
68,68,manchali,girl,female,"rich,  spoiled",1,20,155.83333330000002,7.791666667
69,69,naina,shah,female,young,1,29,368.5,12.70689655
70,70,naina,shah,female,young,1,29,365.6666667,12.609195399999999
71,71,saudagar,phoolbanu,female,"daughter, daughter",2,20,58.0,2.9
72,72,aahat,woman,female,"blind,  young",1,13,50.5,3.884615385
73,73,ajanabee,girl,female,young,2,19,257.78333330000004,13.56754386
74,74,ajanabee,woman,female,young,1,25,226.0,9.04
75,75,badi_maa,hema,female,"daughter, daughter",3,37,112.0,3.027027027
76,76,badi_maa,girl,female,"patriotic,  unaware",1,18,151.5,8.416666667000001
77,77,bidaai,gauri,female,dumb,4,28,22.0,0.7857142859999999
78,78,bidaai,padma,female,wealthy,6,65,117.0,1.8
79,79,bidaai,parvati,female,ailing,3,35,175.0,5.0
80,80,call_girl,woman,female,"beautiful,  young",1,27,183.0,6.777777778
81,81,call_girl,maya,female,"sister, sister",13,81,4407.573449,54.41448702
82,82,call_girl,sonachand,female,daughter,4,72,0.0,0.0
83,83,chor_machaye_shor,girl,female,rich,1,6,48.0,8.0
84,84,chowkidar,radha,female,"sister, sister, niece",10,75,218.0,2.906666667
85,85,chowkidar,lala,female,"sister, sister",7,85,106.0,1.247058824
86,86,dulhan,daughter,female,young,1,3,6.0,2.0
87,87,hawas,anil,female,"wife, wife",5,83,24.0,0.289156627
88,88,hawas,daughter,female,"beautiful,  young",1,19,262.1666667,13.79824561
89,89,hawas,kumar,female,handsome,1,11,23.0,2.090909091
90,90,humshakal,radha,female,mother,24,198,298.0,1.505050505
91,91,humshakal,rani,female,"daughter, daughter",13,93,106.0,1.139784946
92,92,humshakal,lalita,female,daughter,14,123,584.5,4.75203252
93,93,humshakal,girl,female,"young,  poor",3,48,204.5,4.260416667
94,94,imtihaan,preeti,female,"daughter, daughter, daughter",30,177,363.0,2.0508474580000002
95,95,khotey_sikkay,daughter,female,"teenage,  widowed",1,29,257.03333330000004,8.863218391
96,96,kora_kagaz,archana,female,"mother, mother",10,83,239.0,2.8795180719999998
97,97,kunwara_baap,bharathi,female,"wife, wife",3,25,28.0,1.12
98,98,majboor,mother,female,widowed,1,9,56.0,6.222222222
99,99,manoranjan,woman,female,young,1,27,230.33333330000002,8.530864198
100,100,vachan,shyama,female,sick,2,21,176.0,8.380952381
101,101,vachan,girl,female,young,1,17,327.0,19.23529412
102,102,aandhi,daughter,female,drunk,1,7,33.0,4.714285714
103,103,ek_mahal_ho_sapno_ka,daughter,female,young,1,11,79.0,7.181818182000001
104,104,faraar,woman,female,young,1,24,119.0,4.958333333
105,105,geet_gaata_chal,radha,female,"daughter, daughter, daughter",2,23,7.0,0.304347826
106,106,jai_santoshi_maa,santoshi,female,"wife, wife, wife",12,101,0.0,0.0
107,107,jai_santoshi_maa,satyavati,female,maiden,15,193,1562.166667,8.094127807000001
108,108,julie,mother,female,dominating,7,107,300.3333333,2.806853583
109,109,julie,girl,female,christian,1,20,144.91666669999998,7.245833332999999
110,110,julie,julie,female,mother,28,175,580.3333332999999,3.316190476
111,111,julie,julie,female,mother,28,79,409.0,5.17721519
112,112,khushboo,kusum,female,mother,13,160,483.5,3.021875
113,113,mausam,woman,female,refined,1,12,108.0,9.0
114,114,mausam,chanda,female,"daughter, daughter",8,69,580.3333332999999,8.410628018999999
115,115,raftaar,woman,female,young,1,17,138.0,8.117647059
116,116,rani_aur_lalpari,kamla,female,"mother, mother, mother",9,75,56.0,0.7466666670000001
117,117,rani_aur_lalpari,rani,female,poor,8,55,46.0,0.836363636
118,118,sanyasi,woman,female,young,1,9,42.0,4.666666667
119,119,sholay,daughter,female,reclusive,1,10,80.0,8.0
120,120,sholay,woman,female,"talkative,  feisty,  young",1,13,181.5,13.96153846
121,121,adalat,ajit,female,wife,16,164,365.3333333,2.227642276
122,122,bundal_baaz,sister,female,unmarried,2,54,955.0,17.68518519
123,123,chalte_chalte,woman,female,"lovely,  young",1,7,30.0,4.285714286
124,124,chalte_chalte,geeta,female,devastated,13,126,563.6666667000001,4.473544974
125,125,chitchor,geeta,female,daughter,19,123,159.83333330000002,1.299457995
126,126,ginny_aur_johnny,ginny,female,old,4,31,233.0,7.516129032
127,127,manthan,girl,female,"harijan,  local",2,35,410.0,11.71428571
128,128,manthan,bindu,female,"feisty,  young",8,94,638.6666667000001,6.794326241
129,129,mrigayaa,dungri,female,"wife, wife",1,9,42.0,4.666666667
130,130,udhar_ka_sindur,shanta,female,"sister, sister, sister",3,19,12.0,0.6315789470000001
131,131,udhar_ka_sindur,girl,female,rich,2,26,590.0,22.69230769
132,132,udhar_ka_sindur,sudha,female,"wife, daughter, wife, daughter, wife, daughter",4,29,27.0,0.931034483
133,133,zindagi,seema,female,unmarried,4,42,53.0,1.2619047620000001
134,134,aadmi_sadak_ka,tandon,female,wealthy,1,1,0.0,0.0
135,135,aadmi_sadak_ka,vandana,female,"daughter, daughter",2,29,131.1666667,4.522988506
136,136,aaina,shalini,female,"daughter, daughter",12,137,103.0,0.751824818
137,137,aaina,savitri,female,"sister, sister",3,34,0.0,0.0
138,138,aap_ki_khatir,girl,female,poor,1,15,147.0,9.8
139,139,aashiq_hoon_baharon_ka,girl,female,arrogant,1,18,207.66666669999998,11.53703704
140,140,amar_akbar_anthony,three,female,"mother, mother",9,97,157.33333330000002,1.6219931269999999
141,141,amar_akbar_anthony,mother,female,biological,1,8,0.0,0.0
142,142,amar_akbar_anthony,robert,female,"niece, daughter, niece, daughter, penniless",30,318,2886.933333,9.078406709
143,143,anand_ashram,woman,female,"beautiful,  poor",3,34,481.0,14.14705882
144,144,anurodh,sunita,female,"granddaughter, granddaughter, grandchild",4,26,19.0,0.7307692309999999
145,145,anurodh,daughter,female,lost,2,17,114.0,6.705882353
146,146,bhumika,mother,female,uptight,6,140,2031.266667,14.50904762
147,147,bhumika,actress,female,unhappy,2,67,2335.333333,34.85572139
148,148,dildaar,parvati,female,"daughter, daughter, daughter",3,33,194.66666669999998,5.898989899
149,149,dream_girl,woman,female,young,1,31,683.6666667000001,22.05376344
150,150,dulhan_wahi_jo_piya_man_bhaaye,mother,female,scheming,4,32,213.16666669999998,6.661458333
151,151,dulhan_wahi_jo_piya_man_bhaaye,girl,female,illiterate,3,38,196.0,5.1578947369999995
152,152,ek_hi_raasta,veena,female,"daughter, wife, wife, daughter, wife, wife",9,114,343.0,3.00877193
153,153,ek_hi_raasta,woman,female,"modern,  delightful,  soft",2,30,391.0,13.03333333
154,154,kasum_khoon_ki,woman,female,young,1,31,208.66666669999998,6.731182796000001
155,155,kitaab,woman,female,old,2,32,198.0,6.1875
156,156,kotwal_saab,prabha,female,"sister, wife, sister, wife, sister, wife",23,212,435.83333330000005,2.05581761
157,157,paheli,lachchi,female,"wife, daughter, wife, daughter",11,153,250.83333330000002,1.639433551
158,158,palkon_ki_chhaon_mein,woman,female,old,2,38,353.0,9.289473683999999
159,159,shankar_hussain,girl,female,muslim,4,41,468.16666669999995,11.41869919
160,160,tyaag,mother,female,good,4,45,383.5833333,8.524074074
161,161,tyaag,sunit,female,"mother, mother",4,43,227.0,5.279069767
162,162,tyaag,sunita,female,"mother, mother",4,528,1860.0952379999999,3.5229076480000003
163,163,tyaag,daughter,female,good,2,19,57.0,3.0
164,164,arvind_desai_ki_ajeeb_dastaan,alice,female,"mother, mother, mother",3,26,241.66666669999998,9.294871795
165,165,azaad,seema,female,princess,1,21,447.83333330000005,21.32539683
166,166,badalte_rishtey,mother,female,ill,4,14,23.0,1.642857143
167,167,badalte_rishtey,savitri,female,"sister, sister, wife, sister, sister, wife, sister, sister, wife",48,359,665.3333332999999,1.853296193
168,168,des_pardes,daughter,female,young,1,8,36.0,4.5
169,169,don,kamini,female,fiancee,4,65,51.0,0.784615385
170,170,don,roma,female,"sister, shattered",9,129,534.0,4.139534884
171,171,gaman,mother,female,ailing,1,6,24.0,4.0
172,172,ganga_ki_saugandh,woman,female,old,1,10,69.0,6.9
173,173,karmayogi,woman,female,religious,1,19,121.0,6.368421053
174,174,karmayogi,durga,female,"wife, wife",14,116,72.66666667,0.6264367820000001
175,175,karmayogi,mother,female,separated,3,38,1375.845238,36.20645363
176,176,main_tulsi_tere_aangan_ki,woman,female,aristocratic,1,6,63.0,10.5
177,177,muqaddar_ka_sikander,fatima,female,"daughter, daughter",7,89,1961.0,22.03370787
178,178,muqaddar_ka_sikander,woman,female,muslim,1,53,1385.0,26.13207547
179,179,muqaddar_ka_sikander,kaamna,female,"mother, mother, young",21,166,806.3333332999999,4.857429719
180,180,satyam_shivam_sundaram,roopa,female,"wife, wife, wife",20,140,740.6666667000001,5.29047619
181,181,trishna,aarti,female,"wife, wife",7,79,96.0,1.215189873
182,182,trishna,vidya,female,"sister, sister",4,45,173.0,3.8444444439999996
183,183,trishul,geeta,female,daughter,5,51,422.5,8.284313725
184,184,trishul,kamini,female,wealthy,1,12,197.0,16.41666667
185,185,trishul,sheetal,female,general,2,17,180.66666669999998,10.62745098
186,186,aangan_ki_kali,bhavana,female,orphan,10,62,669.5,10.7983871
187,187,amar_deep,radha,female,"daughter, daughter",7,65,466.4833333000001,7.176666667
188,188,baton_baton_mein,daughter,female,lovely,1,18,95.0,5.277777778
189,189,baton_baton_mein,rosie,female,"daughter, daughter",14,129,351.5,2.724806202
190,190,bhayaanak,woman,female,beautiful,1,13,128.0,9.846153846
