,Unnamed: 0,movie,plot,year
0,0,2001:_do_hazaar_ek, Following the brutal slaying of a call-girl named Julie in Bombay city  two police inspectors  namely Anil Sharma and Rajat Bedi  are assigned to investigate and bring the culpritto book. Anil & Rajat note that the killer leaves `` 2001  marked on the body of the victim. Anil comes to know that the man staying in Julie 's room is a prominent Member of State Parliament  Ramaswamy  and would like to list Anil as a suspect. Julie 's death is followed by more killings in the same style  and killed are Advocates Sarkari and Kajal  and a man named Krishna Rao. Then Ramaswamy Ramaswamy is attacked  but survives and is hospitalized. When Ramaswamy regains consciousness for a brief period of time  Ramaswamy points an accusing finger at Rajat and then relapses. Not wanting to take any chance  Police Commissioner Malik has Rajat under house arrest. Then Anil comes across some evidence that links the killing to none other than Malik Anil  while Rajat starts to gather together evidence against Anil. The question remains : Is the killer one of these police officers ? If so  which one  or are all three collectively involved in these gruesome deaths ?,1998
1,1,36_ghante, Three hardcore criminals escape from a jail by overpowering the guards and snatching their guns. Once out in the street  they first snatch a car from a man passing that way  and then steal clothes from three other passers-by  and get themselves dressed in the same. Then they forcibly enter into a newspaper editor 's house  taking him and his family hostage. After many incidents they finally get killed one-by-one. Three jailed convicts Himmat  his brother Ajit  and Dilawar Khan break out of prison and take over the household of Editor Ashok Rai. Held hostage against their will are Ashok Rai  Dilawar wife Deepa Rai  son  Rajoo and gorgeous sister Naina. The convicts will continue to hold the family hostage until their associate  Kamini contacts them in person. The police investigation into their escape is being coordinated by Inspector R D Wadekar  who have absolutely no clue of the whereabouts of the convicts,1974
2,2,aa_ab_laut_chalen, Rohan Khanna is a jobless graduate living with Rohan grandfather and Rohan mother. Rohan has been tirelessly looking for a decent job without success. One day  Rohan 's neighbour  Ranjit arrives. Rohan lives in America  owns a motel  a perfect living and is married to an American woman. Ranjit wishes to keep Ranjit parents in America to live in peace. After listening to Rohan 's desire for a job  Ranjit suggests that Rohan should also move to America. Looking at Ranjit 's success  Rohan is immediately persuaded. Rohan tells Balraj mother and grandfather of Balraj wish and they are abruptly reminded of Rohan 's late father  Balraj Khanna who left Balraj wife and son for America after a bitter argument with Balraj father. Prior to leaving for America though  Balraj died in a bus accident  leaving Rohan orphaned and Rohan mother widowed. To avoid the same fate for Rohan as Rohan father 's  Rohan 's grandfather prepares Rohan 's visa for America. Rohan arrives in America and immediately meets Sardar Khan  a Pakistani man who drives a taxi. Rohan 's good manners and friendly personality wins Sardar over as Sardar drives Rohan to Ranjit 's motel. Rohan did not have any spare cash to pay Sardar so Sardar asked Sardar to wait while Sardar asked Ranjit for the taxi fare. Sardar is shocked when Ranjit does not pay Sardar fare or give Sardar a place to stay saying that Rohan should help Rohan. Rohan also discovers that Ranjit 's parents are working at the motel and facing verbal abuse from Rohan wife. Sardar offers Rohan a place to stay much to the dismay of Rohan roommate  Iqbal Singh  a Punjabi man from India. Rohan is allowed to stay with Iqbal and Sardar with the persuasion of Chaurasia at the airport. Sardar has just arrived in America to live with Sardar older brother and his wife. To Sardar shock  Sardar brother only brought Sardar because his boss had seen a picture Sardar and had fallen for Sardar. Pooja 's brother insists that Pooja should marry his boss. In anger  Pooja leaves his house without money and nowhere to go Rohan sees Pooja crying and offers Pooja a place to stay with Iqbal and Sardar. Iqbal and Sardar discover that Pooja and Rohan have brought happiness into their house. They pitch in to provide jobs for the newcomers. They are also acquainted with PC Jack Patel who is a police inspector and a Hindu priest  and observes both jobs faithfully. Pooja and Rohan begin to work at the Dunkin' Donuts but  after a tussle with some customers who tried to harass Pooja  they are fired. This protective relationship between Rohan and Pooja causes Pooja to fall in love with Pooja deeply. Rohan then finds a job at a gas station. One day at Chaurasia 's restaurant  Rohan becomes frustrated with Rohan lack of progress and Chaurasia advises Rohan to get a Green Card by marrying an NRI girl. Rohan and Pooja go to an Indian dance to search for an NRI girl disapproved by Pooja. There  Pooja met the seductive Loveleen and Pooja falls for the immediately. Pooja  Iqbal  and Sardar do everything to keep Loveleen away from Rohan until Rohan gets aggravated and tells the three to stay away from Rohan. Sardar advises Pooja to follow Rohan and Loveleen to Seaside Heights and declare Rohan love for Rohan. Rohan is rejected by Rohan and Rohan later tells Rohan to stay away from Rohan. Iqbal and Sardar accuse Sardar of being consumed by money. Rohan tells them that they are envious of Rohan progress. Iqbal tells Rohan that one day Iqbal will regret Iqbal decision and come back to Pooja. Rohan leaves the house for Loveleen in rage. To forget Rohan  Pooja finds a job as a caretaker for a rich Indian man who is ill. He is Balraj Khanna  Rohan 's estranged father who has not died. Balraj has been living in New York with Balraj son  Karan. Karan 's mother left Balraj when Karan was very young. Karan has grown to be a spoiled and arrogant young man who is friends with Loveleen. Karan consistently asks Karan father for money to spend for Karan enjoyment. Karan even took a loan from Marko  a dangerous drug dealer. To pay back Karan debts  Karan is assigned to transport drugs around the country. Balraj takes a liking to Pooja and considers Balraj as a daughter. Balraj wants to keep Balraj in Balraj home so Balraj asks Balraj to consider marrying Karan. Karan and Pooja are against the idea. Meanwhile  Rohan begins to realise that Loveleen 's American culture deeply goes against Loveleen. Loveleen gets fed up with Loveleen ways and realises Loveleen is really in love with Pooja. Loveleen leaves Loveleen with nowhere to go because of Loveleen poor decisions. Jack Patel forces Iqbal  Sardar  and Rohan to reconcile and they forgive Rohan for Rohan mistakes. Rohan sets out to ask Pooja for forgiveness. Pooja is in Springfield with Balraj  and Rohan arrives there to meet Rohan. After a confrontation between Rohan and Pooja  Rohan tells Rohan that will go back home to India together : `` Aa Ab Laut Chalen . Pooja forgives Rohan and Rohan gives Rohan a locket with a picture of Rohan mother inside saying that it is a promise that Rohan will marry Rohan. Pooja tells Balraj that Balraj has fallen in love with a man named Rohan and Rohan encourages Rohan love for Rohan. Meanwhile  Karan becomes desperate for the money so Rohan decides to marry Pooja. After violently urging Pooja to marry Pooja  Pooja locket falls on the ground and Balraj picks it up When handing it to Balraj  Balraj sees Rohan 's mother and Rohan wife. Rohan realises that Rohan is Rohan son but does not tell Pooja. After hearing that Pooja is employed in a low paying job  Pooja tells Pooja that Pooja will give Rohan a job in Rohan company. But Rohan fears that Rohan son will not accept Rohan as a father because Rohan left Rohan and Rohan mother back in India. Rohan accepts the job and is deeply grateful to Balraj. Rohan wishes for a chance to meet Rohan. Balraj continues Balraj generosity from afar by giving Rohan a $ 5000 bonus. Rohan returns to Ranjit 's motel and frees Ranjit 's parents by paying for their tickets to India. Ranjit and Ranjit wife are arrested by Jack Patel for keeping Ranjit parents ' passports. Ranjit mother is happy to know that Rohan has found the love of Ranjit life and a decent job. One day  Rohan is invited to a party which Balraj would attend. When Rohan meets Balraj  Balraj is stunned to realise that Balraj is Balraj father and very much alive. Balraj reacts in anger. Balraj openly confesses to everyone that Balraj has left Balraj wife and son in India and does not deserve everyone 's respect. Balraj reveals that after Balraj arrived in America  Balraj went back to India to find Balraj family but Balraj could not. Hence  Balraj remarried. Rohan can not bring Rohan to forgive Rohan father because Rohan has caused Rohan mother 's suffering. Balraj insists to speak to Balraj wife to ask for forgiveness. Balraj immediately forgives Balraj and asks to come back to India. Karan emerges saying that if Balraj leaves for India  Balraj has to leave Balraj fortunes to Karan in America. After a heated discussion and on Rohan 's consent  Balraj agrees but on the condition that Balraj will disown Balraj as a son. Balraj  Rohan  and Pooja all leave for India. Before they check in  PC Jack Patel appears with Karan. PC Patel relates that Karan has got Marko arrested by police along with the entire gang. So  even the police services and government agencies have forgiven mistakes. Balraj and Rohan are very happy to hear that. Karan tells Balraj that Karan does not want the wealth but a family Karan never had. They accept Karan and the family leaves for India. Rohan 's mother welcomes them home and they finally live happily together,1999
3,3,aa_dekhen_zara, Ray Acharya  a struggling photographer has nothing going for Ray . until Ray inherits a very ` special ' camera from Ray grandfather who was a scientist. Then Ray life changes in a way that Ray could not have imagined in Ray wildest dreams. The photographs produced by the camera predict the future. Ray uses the camera to obtain winning lottery numbers  winning horses  and also stock prices. Ray life becomes one big roller coaster ride that takes Ray from rags to riches and also helps Ray meet the love of Ray life  Simi  a DJ with a mind of Simi own. However Captain finds out and chases Ray to get the camera for Ray. Security authorities also chase Ray as they are aware that Ray 's grandfather was trying to create a camera that can predict the future. The chase leads them to Bangkok where the climax unfolds,2009
4,4,aadmi_aur_apsara, Raju  a courageous and spirited young man  is a caregiver to four young orphans. is a tourist guide in a picturesque hill station. One of the children is accidentally injured. An ayurvedic guru suggests the only cure for the child 's injury - herbs found only on the banks of Manasa Sarovar. Raju goes to the Himalayas to retrieve these powerful herbs. During the same time  a celestial being  Indraja  the daughter of Lord Indra  happens to visit the Manasa Sarovar. She accidentally drops her ring there. This ring is her passport to Heaven. Raju finds the ring and starts wearing it  oblivious to its divine power. Indraja is unable to enter Heaven as she lost her ring. Brihaspathi  the Deva-guru  instructs Brihaspathi to go back to Earth to retrieve it before the next Kartik Poornima. In search of the ring  Indraja finds Indraja way to Raju 's hometown. Due to Indraja strange language and lack of emotional and social awareness  Indraja is initially considered insane. Indraja umpteen confessions about Indraja divinity are subject to laughter. Raju & the children take pity on Indraja and provide Indraja shelter in their home. Indraja becomes close to the children and often ends up in trouble trying to take the ring from Raju. In the meanwhile  Raju is caught up in a moral squabble with an arrogant millionaire  KP KP 's goons launch a series of attacks on Raju and Indraja. Raju overcomes them  unaware that the ring is helping Raju. KP gets suspicious about Raju 's supernatural power. KP approaches Mahadrashta  a sorcerer who sacrifices women to attain powers. Mahadrashta discovers that Indraja is a celestial being and wants to sacrifice Mahadrashta to become immortal. The kids take Indraja on a car ride one day and the car loses control. Raju averts a major accident and blames and abandons Indraja. The youngest of the orphans is critically injured when Mahadrashta 's men bomb the school. When everyone 's asleep  Indraja puts on the divine ring and saves the child. Raju realises Indraja 's true self and repents for the folly. The two realize that have fallen in love. Raju uses the ring 's power to scare KP and Raju goons. During this time  Mahadrashta tries to acquire it from one of the kids by hypnotizing Mahadrashta. A monkey grabs the ring and carries it far away  dropping it in the bowl of Kumkum at the feet of a statue of Hanuman. Raju and the kids search for the ring in vain. Mahadrashta and Mahadrashta men plant false evidence in Raju 's home to fabricate the lie that Indraja is a sorceress. Raju and Indraja two are pelted with stones and Indraja is carried away by Mahadrashta. The kids discover the ring and Raju sets out to save Indraja. A hypnotized Indraja does not recognize or respond to their calls. Upon coming in contact with the ring  she comes to her senses and destroys KP and his men. Raju kills Mahadrashta  refusing to use the ring  as he believes human power is enough to defeat evil. The very same evening is Kartik Poornima  the final call for Indraja to return to heaven. Her thoughts are flooded with the loving memories of her time with Raju and the kids. She is caught between her love for Raju and her obligation to return to heaven to remain divine and immortal. Indraja throws away her ring and chooses to go back to Raju to lead a mortal life,1991
5,5,aadmi_khilona_hai, The movie story deals with Verma family consists of two brothers  Vijay and Sharad  Vijay 's wife  Ganga  and daughter. Sharad is unmarried and is studying in college while Vijay runs the household on Vijay income. In college  Sharad meets with Punam and both are attracted to each other. Ganga and Vijay get them married but permit them a married life only after they complete their studies  which they do so They are devastated to learn that Punam can not be a mother  so Ganga lets Punam mother Punam child. Soon Sharad gets a job  which gets Sharad to relocate to another city  and there are tearful good-byes. Punam decides to keep Ganga 's child with Punam. But Ganga has been kind to Punam and Sharad for a reason  and now the time has come for payback. Later on as time progresses sharad earns well and lives in a bigger bungalow with drivers and servants. When ganga asks for some money to renew the temple floor sharad refuses citing as a waste of money. But buys an expensive video game for son. soon after their son buys a lottery ticket and luckily wins 2100000. Unable to bear the shame of inequality ganga reaches poonams house and demands her son back. Poonam begs but to no avail. Sharad leaves the boy with ganga and comes home. Later when Vijay returns from tour finds that sharad and poonam vacated bungalow and shifted to small house and are miserable at the loss of child. Vijay comes home to ganga who now lives a better life with the lottery money. H screams and disowns and leaves with children and goes straight to sharad 's dwelling and apologises for wife 's mistakes. meanwhile unable to bear guilt ganga would have struck with a bronze stand and bleeds and faints. sharad and poonam reach home to find unconscious and soon bring back to consciousness. Vijay realises mistake and accepts apology and then all live happily together,1993
6,6,aadmi_sadak_ka, The Nath family consists of Retired Commissioner Upendra  his wife  Savitri  elder son  Madan  who is married to Maya  and they have a son  Ashoo  a second son - Surendra  who is married to Kamla  and they have a daughter  Pinky  a third unmarried college-going son  Chander  and a school-going daughter  Namrata. They are a happy family  and everyone rejoices when Chander completes Chander M A There is more to rejoice when Chander introduces to the woman Upendra loves  Vandana  the only daughter of wealthy Mr Tandon. The marriage is arranged with a ceremony  attended by the family friend  Abdul  who home-delivers groceries. However  before the marriage could be sealed  Upendra receives news that he has lost Court case  and passes away. The wedding is canceled  and the lives of the entire Nath family changes thereafter  with Kamla and Maya taking over the household  reducing Savitri to the status of an unwanted guest  while Namrata is asked to become the servant and unable to complete education  and Chander  who rebels  is asked to leave. Vandana 's dad comes to know of their plight and refuses to permit daughter to get married in the Nath family. Chander moves in with Abdul  gets a job as a waiter  then is promoted as Manager  and finally as partner and co-owner of the Francis Hotel. Unable to get medication  Savitri passes away  forcing Namrata to move in with Abdul as well. Madan and Surendra also find success when buy own hotel and name ` Gulmohar Hotel ' With Chander on one hand  and two siblings on the other - are now poised to compete with each other - not knowing who will win in this cut-throat competition - as set out to destroy each other,1977
7,7,aafat, Inspector Amar and Inspector Chhaya are after criminal Hardayal. Amar and Chhaya fall in love. Amar goes beyond call of Amar duty to catch Hardayal and hence suspended. Amar is caught by Hardayal and imprisoned. Now Chhaya is supposed find criminal Hardayal,1977
8,8,aag_aur_shola, Aag Aur Shola is the story of Love  eternal and immortal. also the story of hatred  the kind of hatred  the existence of which shall remain till the existence of this world. Poor Raju loved Usha  but Poor proudly refused to reciprocate. Nagesh brother of Usha was a rogue. When Poor learned that Raju loves Usha  attacked Raju and beat Raju like a beast. In spite of all this  the fire of lover for Usha was still burning in Raju heart. On the other side  Nagesh was furious and wanted to kill Raju if Raju is still adamant. Raju had no other alternative than to go to Vishal for help. Golden hearted Vishal was not only generous but in strength  Golden was like a rock. Vishal 's past resembled with Raju 's present. Vishal had played with fire and had lost Vishal beloved Aarti. Raju also was playing with fire and would meet with the same fate  but Vishal was now determined to help Raju. This news was like adding fuel to the fire. Vishal would marry Usha with the boy of Vishal choice but on the other side Vishal had promised Raju to get Vishal married with Usha only. This was a great challenge for both Nagesh and Vishal. It was with all Vishal sympathies to Raju on one side and the tyrant Nagesh on the other side and there in between were the innocent lovers,1986
9,9,aag_hi_aag, Army officer Bahadur Singh is recalled to duty on very day Army wife gives birth to son Vijay. While way back on duty  Bahadur Singh 's village is attacked by decoites  Bahadur sister raped and killed. Bahadur goes to police to file complaint but shunned by police. Enraged Bahadur Singh takes law in Daulat hand  join gang of bandits led by Daulat Singh and changes Daulat name to Sher Singh. One day Sher Singh is shot by police. Doctor Raghuveer Singh comes to treat Doctor. But Sher Singh thinks that Raghuveer Singh is a policeman and kills Raghuveer Singh. When Raghuveer realizes Raghuveer mistake  Raghuveer repents and surrender to police. Years pass by Sher Singh 's son Vijay grows up and fall in love with Aarti. Aarti is daughter of Mr Chaudhary  alias dacoit Daulat Singh. Son of Doctor Raghuveer Singh becomes police inspector. Suraj has only one mission. Find Sher Singh and kill Sher to take revenge of Sher father 's murder by Sher Singh. This gives more twists and turns in the story which leads to a dead end with many people to repent. This film is also known to start Chunky Pandey 's brilliant Bollywood career,1987
